species,allom_species,wd_species,species_full
S.refracta,G.polyacantha,G.polyacantha,Searsia refracta
S.tomentosum,P.incana,P.incana,Solanum tomentosum
S.undulata,S.longispina,S.longispina,Searsia undulata
T.camphoratus,B.ilicifolia,P.capensis,Tarchonanthus camphoratus
Tephrosia sp1,J.capensis,J.capensis,Tephrosia spp
Unknown sp1,P.incana,P.incana,Unknown sp1
Unknown sp2,P.incana,P.incana,Unknown sp2
Unknown sp3,none,,Unknown sp3
Unknown sp4,P.incana,P.incana,Unknown sp4
V.karoo,V.karoo,V.karoo,Vachellia karoo
Ysterhout sp,B.ilicifolia,P.capensis,Ysterhout sp
Z.morgsana,P.auriculata,P.auriculata,Zygophyllum morgsana
Zygophyllum sp,P.auriculata,P.auriculata,Zygophyllum sp
