ID,degr_class,orig_species,canopy_width,canopy_length,height,species,plot_size,bsd,yc,yc_lc,yc_uc,area,vol
PV1,Intact,E.undulata,153,222,187,E.undulata,10,None,3.3872567089499723,3.528392405156221,14.184137468728007,2.761165418194154,5.1633793320230685
PV1,Intact,E.undulata,132,184,178,E.undulata,10,None,2.1704672157910965,2.2609033497823923,9.088831466125216,1.96066797510539,3.489988995687594
PV1,Intact,P.afra,185,222,157,P.afra,10,None,4.455547925032279,3.5273087739838878,24.598337502782375,3.2525105092155977,5.106441499468489
PV1,Intact,P.afra,69,134,147,P.afra,10,None,1.1326319354687064,0.896666948912726,6.253072143733484,0.8091368228861362,1.1894311296426203
PV1,Intact,P.afra,48,54,123,P.afra,10,None,0.2626619018172873,0.20794067227201912,1.450112582949607,0.2042820622996763,0.25126693662860183
PV1,Intact,P.afra,76,75,142,P.afra,10,None,0.6285584387851711,0.49760876403826054,3.4701663807931324,0.4476965880906305,0.6357291550886952
PV1,Intact,P.afra,89,142,113,P.afra,10,None,1.127722423233295,0.8927802517263586,6.225967544933816,1.047740784926281,1.1839470869666973
PV1,Intact,P.afra,52,63,112,P.afra,10,None,0.30136640537473847,0.23858173758833462,1.663793696339702,0.25967226777328134,0.29083293990607506
PV1,Intact,P.afra,94,163,184,P.afra,10,None,2.1793198887419405,1.725294911920703,12.031661885762798,1.2968690823559514,2.386239111534951
PV1,Intact,P.afra,133,141,143,P.afra,10,None,1.9395674633547004,1.535490908489138,10.708028703937408,1.4741138128806706,2.107982752419359
PV1,Intact,P.afra,59,103,161,P.afra,10,None,0.8072768668532811,0.6390941862588476,4.45684103575249,0.5152997350050659,0.829632573358156
PV1,Intact,C.ovata,85,99,169,C.ovata,10,None,1.472209359205818,0.6440915946525454,14.262028167306365,0.6647610054996002,1.1234460992943245
PV1,Intact,P.afra,54,97,122,P.afra,10,None,0.5449703300862104,0.43143484465158327,3.0086903640176197,0.4476965880906305,0.5461898374705692
PV1,Intact,P.afra,17,21,104,P.afra,10,None,0.03505277921448445,0.027750116878133526,0.1935205519132996,0.02835287369864788,0.029486988646593795
PV1,Intact,C.ovata,27,46,62,C.ovata,10,None,0.06487028559750503,0.02838074994890845,0.62843089172583,0.10463467031862506,0.06487349559754754
PV1,Intact,P.afra,60,88,121,P.afra,10,None,0.5207487424463046,0.4122594211033245,2.8749670155889735,0.4300840342764427,0.5204016814744957
PV1,Intact,P.afra,88,149,69,P.afra,10,None,0.7443256624184025,0.5892578160812353,4.10929792793493,1.1028757359967818,0.7609842578377795
