ID,Stratum,Size,N,Vol,VolHa,MaxVol,95%Vol,Height,HeightHa,MeanHeight,MaxHeight,95%Height,MeanArea,MaxArea,95%Area,Abc,AbcHa,LitterC,LitterCHa,AgcHa
INT1,Intact,10,93,341.55108188259686,34155.108188259685,41.560384468742484,16.87882518954446,11087.0,1108700.0,119.21505376344086,357,268.4,1.667497842277592,13.428914512356336,7.679729270452307,256.57988896265323,25657.988896265324,1.3290767999999997,13290.767999999996,38948.75689626532
INT3,Intact,10,115,163.4816220252537,16348.16220252537,24.18699617628167,5.726081007416777,9791.0,979100.0,85.13913043478261,255,179.39999999999998,0.9821706240839269,13.074051987179283,3.893955006739336,124.77691087252936,12477.691087252935,1.24272,12427.2,24904.891087252938
INT7,Intact,10,102,309.1302250448632,30913.022504486322,57.835291327930705,8.489255238493447,13443.0,1344300.0,131.7941176470588,345,243.99999999999977,1.524873441682578,16.763852558820496,4.895093209892712,241.1894457817576,24118.94457817576,1.7337408,17337.408,41456.35257817576
MV1,Moderate,10,52,192.83352159869452,19283.352159869453,21.9181310896252,15.522379218995193,6040.0,604000.0,116.15384615384616,365,250.84999999999994,1.9414057075527966,8.94617595494906,7.56034089563426,110.92990017378162,11092.990017378163,0.47213279999999996,4721.3279999999995,15814.318017378162
MV11,Moderate,10,111,204.5802746443761,20458.027464437608,21.64185059593917,8.47253530932692,10409.0,1040900.0,93.77477477477477,239,212.5,1.2175068975338565,10.065977021367056,4.440297604152686,146.49723114264543,14649.723114264541,0.3422496,3422.496,18072.219114264542
MV12,Moderate,10,24,130.3402819494732,13034.02819494732,104.75707462239053,6.082997073901754,1472.0,147200.0,61.333333333333336,466,145.69999999999982,3.0918139543690457,22.480058931843462,9.163605582504001,70.12174698441802,7012.174698441802,0.0236496,236.496,7248.670698441802
MV13,Moderate,10,203,231.74990713265666,23174.990713265663,17.210270518701115,5.614201215755392,15967.0,1596700.0,78.65517241379311,269,193.89999999999998,0.7829683620104154,8.11805213146279,3.307142805461522,159.18184903603358,15918.18490360336,0.2562528,2562.5280000000002,18480.71290360336
MV14,Moderate,10,59,238.5508726585909,23855.08726585909,20.362360018744713,18.02487129770514,6519.0,651900.0,110.49152542372882,386,254.39999999999998,2.1470552727253867,11.074133738858105,7.257434422461356,163.45782570835996,16345.782570835996,0.159,1590.0,17935.782570835996
MV16,Moderate,10,165,315.37780216646024,31537.78021664602,22.547339280112745,8.769923653543561,17811.0,1781100.0,107.94545454545455,361,216.7999999999999,1.1922504769997597,11.762829753387244,3.9556774849053222,272.1282486038068,27212.824860380682,0.4867565084010839,4867.565084010839,32080.38994439152
MV17,Moderate,10,132,202.33264613500927,20233.264613500927,22.09514785833299,8.477516942615184,8015.0,801500.0,60.71969696969697,289,212.79999999999995,0.8840013328203461,10.207054166467323,4.14838572351964,140.78506198190192,14078.506198190193,0.36675359999999996,3667.5359999999996,17746.042198190193
MV18,Moderate,10,197,226.40781633903867,22640.78163390387,41.24251419706144,5.005365900197205,12786.0,1278600.0,64.90355329949239,428,216.19999999999987,0.6966154792333343,14.522012041218817,2.7523493238100176,176.84296163724719,17684.29616372472,0.33596546374817593,3359.6546374817594,21043.95080120648
MV19,Moderate,10,334,81.41421614544772,8141.421614544773,6.5030339610778,1.1619106111000599,16789.0,1678900.0,50.26646706586826,271,132.0499999999999,0.27419325691569457,2.9559245277626363,1.191616892731355,80.73451474580675,8073.4514745806755,0.28195186603629707,2819.518660362971,10892.970134943647
